Port Chicago, CA 
Station ID: 9415144
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
9415144 20050101 09:12   3.800 223.000   4.100   8.600   9.700 1013.70
9415144 20050101 09:18   4.400 229.000   5.100   8.600   9.600 1014.00
9415144 20050101 09:24                                                
9415144 20050101 09:30   4.200 225.000   5.900   8.300   9.600 1014.10
9415144 20050101 09:36   2.600 210.000   3.700   7.700   9.600 1013.80
9415144 20050101 09:42   1.900 220.000   4.400   7.800   9.600 1013.70
9415144 20050101 09:48   2.800 212.000   3.500   7.700   9.600 1013.80
9415144 20050101 09:54   4.500 217.000   5.500   7.700   9.600 1014.00
9415144 20050101 10:00   2.400 199.000   4.000   7.900   9.600 1014.10
9415144 20050101 10:06   0.600 191.000   2.900   7.700   9.600 1014.20
9415144 20050101 10:12   1.100 192.000   2.900   7.600   9.600 1014.00
9415144 20050101 10:18   1.000 197.000   3.100   7.600   9.600 1014.10
9415144 20050101 10:24   3.300 175.000   4.300   7.900   9.600 1014.20
9415144 20050101 10:30   2.800 174.000   4.100   7.800   9.600 1014.40
9415144 20050101 10:36   3.100 175.000   3.600   7.800   9.600 1014.50
9415144 20050101 10:42   2.900 169.000   4.100   7.500   9.600 1014.30
9415144 20050101 10:48   2.000 173.000   3.200   7.700   9.600 1014.30
9415144 20050101 10:54   2.000 183.000   3.400   7.500   9.600 1014.40
9415144 20050101 11:00   3.600 162.000   4.700   7.800   9.600 1014.70
9415144 20050101 11:06   3.300 159.000   4.400   8.100   9.600 1014.70
9415144 20050101 11:12   3.500 161.000   4.700   7.600   9.600 1014.70
9415144 20050101 11:18   3.700 160.000   4.600   8.000   9.600 1014.70
9415144 20050101 11:24   3.200 159.000   4.200   7.600   9.600 1014.70
9415144 20050101 11:30   2.900 164.000   4.400   7.700   9.600 1014.70
9415144 20050101 11:36   2.900 163.000   3.800   7.700   9.600 1014.70
9415144 20050101 11:42   3.400 162.000   4.700   7.500   9.600 1014.60
9415144 20050101 11:48   3.200 168.000   4.200   7.600   9.600 1014.60
9415144 20050101 11:54   3.200 165.000   4.600   7.600   9.600 1014.70
9415144 20050101 12:00   2.900 165.000   4.200   7.700   9.600 1014.80
9415144 20050101 12:06   3.100 167.000   4.300   7.600   9.600 1014.80
9415144 20050101 12:12   4.000 162.000   4.900   7.700   9.600 1014.80
9415144 20050101 12:18   4.500 157.000   5.700   7.600   9.600 1014.80
9415144 20050101 12:24                                                
9415144 20050101 12:30   3.000 170.000   5.400   7.700   9.600 1015.20
9415144 20050101 12:36   2.900 173.000   4.800   7.700   9.600 1015.20
9415144 20050101 12:42   2.300 185.000   4.100   7.400   9.600 1015.20
9415144 20050101 12:48   3.800 170.000   5.100   7.600   9.600 1015.20
9415144 20050101 12:54   4.900 167.000   6.100   7.600   9.600 1015.30
9415144 20050101 13:00   4.400 168.000   6.100   7.300   9.600 1015.40
9415144 20050101 13:06   4.500 176.000   5.600   7.300   9.600 1015.40
9415144 20050101 13:12   3.400 175.000   4.800   7.100   9.600 1015.20
9415144 20050101 13:18   2.200 174.000   4.300   7.100   9.600 1015.20
9415144 20050101 13:24   2.500 168.000   3.400   6.900   9.600 1015.20
9415144 20050101 13:30   2.500 168.000   3.400   6.900   9.600 1015.40
9415144 20050101 13:36   3.700 172.000   4.800   6.800   9.600 1015.50
9415144 20050101 13:42   3.900 169.000   5.200   7.100   9.600 1015.50
9415144 20050101 13:48   3.700 167.000   5.200   7.000   9.600 1015.60
9415144 20050101 13:54   4.300 167.000   5.300   6.600   9.600 1015.60
9415144 20050101 14:00   3.700 173.000   5.400   7.000   9.600 1015.80
9415144 20050101 14:06   4.200 177.000   5.200   7.100   9.600 1015.80
9415144 20050101 14:12   4.100 174.000   5.100   6.700   9.600 1015.70
9415144 20050101 14:18   4.600 172.000   5.500   6.200   9.600 1015.70
9415144 20050101 14:24   4.100 168.000   5.300   6.400   9.600 1015.80
9415144 20050101 14:30   3.600 169.000   5.200   6.300   9.600 1016.00
9415144 20050101 14:36   4.000 163.000   4.900   6.500   9.600 1016.10
9415144 20050101 14:42   3.900 167.000   5.200   6.700   9.600 1015.90
9415144 20050101 14:48   3.700 171.000   5.300   6.500   9.600 1015.90
9415144 20050101 14:54   3.900 174.000   5.000   6.600   9.600 1016.10
9415144 20050101 15:00   4.000 170.000   5.300   6.900   9.600 1016.30
9415144 20050101 15:06   4.100 171.000   5.700   6.300   9.600 1016.40
9415144 20050101 15:12   4.200 167.000   5.400   6.700   9.700 1016.30
9415144 20050101 15:18   4.000 174.000   5.500   6.600   9.700 1016.30
9415144 20050101 15:24   4.800 176.000   5.900   6.500   9.700 1016.40
9415144 20050101 15:30   3.400 170.000   5.500   7.000   9.700 1016.60
9415144 20050101 15:36   4.300 170.000   5.400   6.500   9.700 1016.70
9415144 20050101 15:42   3.800 169.000   4.900   6.200   9.700 1016.50
9415144 20050101 15:48   4.000 174.000   5.400   6.600   9.700 1016.50
9415144 20050101 15:54   3.900 167.000   5.300   6.400   9.700 1016.70
9415144 20050101 16:00   4.400 165.000   5.500   6.500   9.700 1016.90
9415144 20050101 16:06   4.200 165.000   5.800   6.600   9.700 1016.90
9415144 20050101 16:12   4.200 168.000   5.800   6.600   9.700 1016.90
9415144 20050101 16:18   4.100 168.000   5.600   6.600   9.700 1016.90
9415144 20050101 16:24   3.500 161.000   5.300           9.700 1017.00
9415144 20050101 16:30   3.700 169.000   5.300   6.800   9.700 1017.00
9415144 20050101 16:36   3.900 171.000   5.700   7.000   9.700 1017.10
9415144 20050101 16:42   3.400 172.000   5.000   7.100   9.700 1017.10
9415144 20050101 16:48   3.900 168.000   5.500   7.200   9.700 1017.20
9415144 20050101 16:54   3.700 173.000   5.300   7.300   9.700 1017.20
9415144 20050101 17:00   3.300 171.000   5.000   7.300   9.700 1017.40
9415144 20050101 17:06   3.300 170.000   4.600   7.400   9.700 1017.50
9415144 20050101 17:12   3.400 166.000   4.300   7.700   9.700 1017.40
9415144 20050101 17:18   3.500 165.000   4.600   8.000   9.700 1017.50
9415144 20050101 17:24   2.900 173.000   3.900   8.300   9.700 1017.60
9415144 20050101 17:30   3.300 178.000   4.300   8.800   9.700 1017.80
9415144 20050101 17:36   2.400 185.000   4.200   9.000   9.700 1017.90
9415144 20050101 17:42   2.800 179.000   4.700   9.300   9.700 1017.80
9415144 20050101 17:48   3.600 181.000   5.100   9.600   9.700 1017.80
9415144 20050101 17:54   2.100 182.000   5.000  10.100   9.700 1017.90
9415144 20050101 18:00   3.700 185.000   5.300  10.100   9.700 1018.10
9415144 20050101 18:06   4.300 181.000   5.900  10.300   9.700 1018.10
9415144 20050101 18:12   4.400 169.000   5.700  10.200   9.800 1018.10
9415144 20050101 18:18   3.900 172.000   6.000  10.300   9.800 1018.30
9415144 20050101 18:24   4.100 169.000   6.800  10.400   9.800 1018.10
9415144 20050101 18:30   3.400 171.000   5.500  10.600   9.800 1018.40
9415144 20050101 18:36   4.200 160.000   5.800           9.800 1018.20
9415144 20050101 18:42   5.100 173.000   6.000  10.600   9.800 1018.20
9415144 20050101 18:48   4.100 162.000   6.200  10.900   9.800 1018.00
9415144 20050101 18:54   3.800 182.000   4.900  11.100   9.800 1018.20
9415144 20050101 19:00   4.600 164.000   7.100  10.800   9.800 1017.90
9415144 20050101 19:06   3.200 173.000   6.400  10.900   9.800 1018.10
9415144 20050101 19:12   4.600 180.000   5.700  10.800   9.800 1018.30
9415144 20050101 19:18   5.000 177.000   7.000  10.900   9.900 1018.10
9415144 20050101 19:24   5.200 184.000   7.100  11.000   9.900 1018.10
9415144 20050101 19:30   4.900 187.000   7.500  10.700  10.100 1017.80
9415144 20050101 19:36   6.400 226.000   9.300   9.600  10.100 1018.00
9415144 20050101 19:42   4.600 227.000   7.100  10.000  10.100 1017.80
9415144 20050101 19:48   5.500 227.000   7.400  10.000  10.100 1017.90
9415144 20050101 19:54   5.300 231.000   7.100  10.200  10.000 1017.60
9415144 20050101 20:00   4.500 223.000   6.700  10.500  10.000 1017.80
9415144 20050101 20:06   2.900 192.000   5.500  10.600  10.000 1017.50
9415144 20050101 20:12   4.900 186.000   6.800  10.600  10.000 1017.50
9415144 20050101 20:18   3.000 200.000   5.500  10.800  10.000 1017.50
9415144 20050101 20:24   2.900 203.000   4.600  11.400   9.900 1017.30
9415144 20050101 20:30   3.800 180.000   6.000  11.600   9.900 1017.30
9415144 20050101 20:36   2.800 200.000   6.500  11.500   9.900 1017.10
9415144 20050101 20:42   4.400 198.000   6.800  11.300  10.000 1017.30
9415144 20050101 20:48   4.200 209.000   7.100  11.200   9.900 1017.10
9415144 20050101 20:54   5.500 214.000   7.200  11.200   9.900 1017.30
9415144 20050101 21:00   3.600 203.000   6.700  10.900   9.900 1016.90
9415144 20050101 21:06   3.200 198.000   7.500  10.800   9.900 1017.00
9415144 20050101 21:12   3.800 192.000   7.000  10.900   9.900 1017.10
9415144 20050101 21:18   2.900 193.000   6.400  11.300   9.900 1017.10
9415144 20050101 21:24   5.300 220.000   6.700  11.700   9.900 1016.80
9415144 20050101 21:30   6.400 223.000   8.500  11.200   9.900 1016.80
9415144 20050101 21:36   4.700 216.000   6.600  11.200   9.900 1016.90
9415144 20050101 21:42   4.400 224.000   6.700  11.200   9.900 1016.50
9415144 20050101 21:48   4.800 221.000   8.400  11.200   9.900 1016.60
9415144 20050101 21:54   6.200 230.000   8.200  10.600   9.900 1016.70
9415144 20050101 22:00   5.800 243.000   7.600  10.400   9.900 1016.50
9415144 20050101 22:06   5.000 242.000   6.900  10.600   9.900 1016.60
9415144 20050101 22:12   4.800 231.000   6.500  10.800   9.900 1016.60
9415144 20050101 22:18   5.100 231.000   6.400  11.000   9.900 1016.70
9415144 20050101 22:24   6.500 226.000   7.900  11.000   9.900 1016.70
9415144 20050101 22:30   3.300 214.000   7.700  11.000   9.900 1017.10
9415144 20050101 22:36   2.200 195.000   6.800  10.200   9.900 1016.80
9415144 20050101 22:42   3.400 174.000   5.000  10.200   9.900 1016.90
9415144 20050101 22:48   2.700 176.000   4.000  10.600   9.900 1016.60
9415144 20050101 22:54   4.300 179.000   5.600  11.100   9.900 1016.70
9415144 20050101 23:00   2.200 188.000   4.500  11.700   9.900 1016.30
9415144 20050101 23:06   1.300 206.000   3.700  11.800   9.900 1016.50
9415144 20050101 23:12   3.400 212.000   5.600  11.500   9.900 1016.70
9415144 20050101 23:18   4.800 218.000   6.700  11.700   9.900 1016.50
9415144 20050101 23:24   4.000 216.000   5.900  11.800   9.900 1016.70
9415144 20050101 23:30   4.300 219.000   5.900  11.400   9.900 1016.40
9415144 20050101 23:36   3.000 219.000   5.800  11.200   9.800 1016.60
9415144 20050101 23:42   3.600 218.000   4.900  11.200   9.900 1016.40
9415144 20050101 23:48   3.400 224.000   4.400  11.000   9.900 1016.50
9415144 20050101 23:54   3.800 223.000   4.600  10.900   9.900 1016.30
9415144 20050102 00:00   5.300 228.000   6.200  11.000   9.900 1016.60
9415144 20050102 00:06   6.700 224.000   7.900  10.300   9.900 1016.60
9415144 20050102 00:12   5.900 231.000   8.200  10.200   9.900 1016.60
9415144 20050102 00:18   7.100 238.000   9.000  10.300   9.900 1016.70
9415144 20050102 00:24   5.200 238.000   6.300  10.000   9.900 1016.50
9415144 20050102 00:30   3.700 230.000   5.400  10.000   9.900 1016.80
9415144 20050102 00:36   3.000 221.000   3.800   9.900   9.900 1016.60
9415144 20050102 00:42   3.200 213.000   4.200  10.200   9.900 1016.60
9415144 20050102 00:48   1.000 196.000   4.800  10.000   9.900 1016.40
9415144 20050102 00:54   2.300 182.000   3.500   9.600   9.900 1016.60
9415144 20050102 01:00   1.500 172.000   3.200  10.800   9.900 1016.40
9415144 20050102 01:06   3.100 148.000   4.000   9.100   9.900 1016.60
9415144 20050102 01:12   2.200 159.000   4.100   9.800   9.900 1016.60
9415144 20050102 01:18   1.200 176.000   3.200   9.100   9.800 1016.50
9415144 20050102 01:24   1.400 230.000   2.100   8.400   9.900 1016.70
9415144 20050102 01:30   1.500 224.000   2.700   8.700   9.900 1016.50
9415144 20050102 01:36   2.300 234.000   3.100   8.300   9.900 1016.80
9415144 20050102 01:42   3.700 219.000   4.700   9.800   9.900 1016.60
9415144 20050102 01:48   3.300 217.000   4.300   9.400   9.900 1016.80
9415144 20050102 01:54   3.000 224.000   3.700   9.700   9.900 1016.70
9415144 20050102 02:00   2.900 211.000   3.600   9.000   9.900 1017.10
9415144 20050102 02:06   2.500 211.000   4.100   9.700   9.900 1016.90
9415144 20050102 02:12   3.500 217.000   3.900   9.500   9.800 1017.10
9415144 20050102 02:18   1.700 208.000   4.600  10.000   9.900 1017.20
9415144 20050102 02:24   2.200 212.000   3.400   9.000   9.800 1017.00
9415144 20050102 02:30   1.700 212.000   2.700   9.200   9.800 1017.20
9415144 20050102 02:36   1.600 209.000   2.900   8.600   9.800 1017.00
9415144 20050102 02:42   1.400 190.000   3.000   8.800   9.800 1017.10
9415144 20050102 02:48   1.700 186.000   3.100   9.300   9.800 1016.90
9415144 20050102 02:54   3.900 176.000   5.300   9.300   9.800 1017.10
9415144 20050102 03:00   4.100 172.000   5.900   9.500   9.700 1016.80
9415144 20050102 03:06   4.600 174.000   5.900   9.200   9.700 1017.00
9415144 20050102 03:12   3.800 172.000   5.100   9.000   9.800 1017.10
9415144 20050102 03:18   3.900 173.000   5.000   9.200   9.800 1017.20
9415144 20050102 03:24   3.700 169.000   5.100   9.800   9.800 1017.00
9415144 20050102 03:30   4.600 162.000   6.300   8.600   9.800 1017.20
9415144 20050102 03:36   4.500 166.000   5.900   9.100   9.700 1017.00
9415144 20050102 03:42   4.200 161.000   6.200   8.800   9.700 1017.00
9415144 20050102 03:48   3.600 165.000   5.600   8.400   9.700 1016.80
9415144 20050102 03:54   3.300 169.000   4.600   8.900   9.700 1017.00
9415144 20050102 04:00   3.600 174.000   4.400   8.600   9.700 1016.70
9415144 20050102 04:06   3.100 178.000   4.200   8.600   9.700 1016.80
9415144 20050102 04:12   3.800 182.000   4.700   8.400   9.800 1017.00
9415144 20050102 04:18   1.900 190.000   4.900   8.000   9.800 1017.20
9415144 20050102 04:24   2.900 189.000   4.300   8.100   9.800 1017.00
9415144 20050102 04:30   2.600 192.000   4.600   8.400   9.700 1017.10
9415144 20050102 04:36   3.200 188.000   4.800   8.200   9.700 1016.90
9415144 20050102 04:42   2.800 190.000   5.000   8.500   9.700 1017.10
9415144 20050102 04:48   1.900 195.000   4.200   8.000   9.700 1016.90
9415144 20050102 04:54   1.800 208.000   3.100   7.700   9.700 1017.10
9415144 20050102 05:00   1.500 207.000   2.700   7.300   9.700 1017.00
9415144 20050102 05:06   1.600 189.000   2.900   7.800   9.700 1017.20
9415144 20050102 05:12   3.900 178.000   4.600   8.500   9.700 1017.20
9415144 20050102 05:18   3.100 183.000   5.000   7.600   9.700 1017.40
9415144 20050102 05:24   3.200 181.000   4.400   7.600   9.700 1017.10
9415144 20050102 05:30   3.300 176.000   3.800   7.600   9.700 1017.30
9415144 20050102 05:36   2.900 182.000   3.900   7.100   9.700 1017.10
9415144 20050102 05:42   2.500 183.000   3.400   7.800   9.700 1017.10
9415144 20050102 05:48   2.800 175.000   3.800   7.700   9.700 1017.00
9415144 20050102 05:54   1.700 176.000   3.500   7.900   9.700 1017.20
9415144 20050102 06:00   1.800 175.000   2.800   7.100   9.600 1017.00
9415144 20050102 06:06   1.100 162.000   2.200   7.800   9.600 1017.20
9415144 20050102 06:12   1.400 168.000   2.300   7.700   9.600 1017.30
9415144 20050102 06:18   1.700 166.000   2.500   7.000   9.600 1017.30
9415144 20050102 06:24   2.000 171.000   2.900   7.800   9.600 1017.10
9415144 20050102 06:30   1.700 156.000   3.000   7.800   9.600 1017.40
9415144 20050102 06:36   2.500 157.000   3.400   7.800   9.700 1017.10
9415144 20050102 06:42   2.800 171.000   4.500   7.900   9.600 1017.20
9415144 20050102 06:48   2.600 167.000   3.500   7.700   9.600 1017.00
9415144 20050102 06:54   3.400 177.000   4.200   7.800   9.500 1017.20
9415144 20050102 07:00   2.500 176.000   4.400   7.300   9.500 1016.90
9415144 20050102 07:06   2.700 168.000   3.600   7.800   9.500 1017.10
9415144 20050102 07:12   2.900 167.000   3.600   8.000   9.500 1017.20
9415144 20050102 07:18   3.000 164.000   3.900   7.500   9.500 1017.00
9415144 20050102 07:24   3.000 160.000   4.200   7.800   9.500 1017.00
9415144 20050102 07:30   3.400 155.000   4.000   7.800   9.500 1016.90
9415144 20050102 07:36   2.800 156.000   3.800   8.400   9.500 1016.80
9415144 20050102 07:42   3.600 162.000   4.500   7.200   9.500 1016.70
9415144 20050102 07:48   3.200 165.000   4.200   7.900   9.500 1016.70
9415144 20050102 07:54   2.900 168.000   4.000   7.300   9.500 1016.70
9415144 20050102 08:00   2.500 168.000   3.100   7.600   9.500 1016.80
9415144 20050102 08:06   3.000 172.000   3.600   8.000   9.500 1016.70
9415144 20050102 08:12   3.100 171.000   3.900   7.500   9.500 1016.50
9415144 20050102 08:18                                                
9415144 20050102 08:24   4.000 183.000   5.200   7.300   9.500 1016.40
9415144 20050102 08:30   4.200 178.000   4.800   7.900   9.400 1016.60
9415144 20050102 08:36   3.000 177.000   4.600   7.000   9.400 1016.40
9415144 20050102 08:42   2.600 171.000   4.100   7.500   9.400 1016.30
9415144 20050102 08:48   3.100 172.000   4.700   7.400   9.400 1016.00
9415144 20050102 08:54   3.600 174.000   4.700   7.500   9.400 1016.20
9415144 20050102 09:00   3.300 169.000   4.500   7.500   9.400 1016.00
9415144 20050102 09:06   3.700 172.000   4.500   6.900   9.400 1016.10
9415144 20050102 09:12   3.800 178.000   4.900   6.900   9.400 1016.10
9415144 20050102 09:18   3.700 181.000   4.800   7.200   9.400 1016.20
9415144 20050102 09:24   3.700 182.000   4.400   7.800   9.400 1016.10
9415144 20050102 09:30   3.700 177.000   4.400   7.200   9.400 1016.20
9415144 20050102 09:36   3.400 177.000   4.900   7.400   9.400 1016.00
9415144 20050102 09:42   3.100 173.000   4.100   7.000   9.400 1015.90
9415144 20050102 09:48   2.900 174.000   3.500   7.200   9.400 1015.80
9415144 20050102 09:54   2.400 182.000   3.200   7.000   9.400 1015.70
9415144 20050102 10:00   2.900 180.000   3.500   6.700   9.400 1015.70
9415144 20050102 10:06   2.500 176.000   3.300   6.800   9.400 1015.70
9415144 20050102 10:12   2.700 177.000   3.300   7.100   9.400 1015.60
9415144 20050102 10:18   2.400 160.000   3.500   7.100   9.400 1015.70
9415144 20050102 10:24   2.700 168.000   3.100   7.600   9.400 1015.50
9415144 20050102 10:30   2.200 157.000   2.900   6.900   9.400 1015.80
9415144 20050102 10:36   2.300 156.000   3.000   7.100   9.400 1015.50
9415144 20050102 10:42   1.900 150.000   2.700   7.300   9.300 1015.50
9415144 20050102 10:48   1.400 148.000   2.900   7.000   9.300 1015.20
9415144 20050102 10:54   1.800 136.000   2.200   7.200   9.300 1015.30
9415144 20050102 11:00   1.100 119.000   2.200   6.600   9.300 1015.20
9415144 20050102 11:06   2.200  97.000   2.700   7.200   9.300 1015.20
9415144 20050102 11:12   1.700  91.000   2.400   7.500   9.300 1015.30
9415144 20050102 11:18   0.900  97.000   2.000   7.700   9.300 1015.20
9415144 20050102 11:24   0.100 109.000   0.900   7.100   9.300 1015.20
9415144 20050102 11:30   0.400 152.000   1.100   7.800   9.300 1015.30
9415144 20050102 11:36   1.500 149.000   2.200   7.200   9.300 1015.20
9415144 20050102 11:42   1.900 149.000   2.500   7.900   9.300 1015.10
9415144 20050102 11:48   1.900 155.000   2.600   7.500   9.300 1015.00
9415144 20050102 11:54   2.200 169.000   2.900   7.500   9.300 1015.10
9415144 20050102 12:00   2.300 171.000   3.300   7.400   9.300 1015.10
9415144 20050102 12:06   2.000 154.000   3.000   7.000   9.300 1015.00
9415144 20050102 12:12   1.900 166.000   2.600   7.100   9.300 1014.80
9415144 20050102 12:18   1.400 163.000   2.700   7.400   9.300 1014.70
9415144 20050102 12:24   1.500 150.000   2.400   7.600   9.300 1014.60
9415144 20050102 12:30   1.600 146.000   2.400   7.000   9.300 1014.70
9415144 20050102 12:36   2.000 141.000   2.400   7.200   9.300 1014.60
9415144 20050102 12:42                                                
9415144 20050102 12:48   2.200 144.000   2.800   7.800   9.300 1014.40
9415144 20050102 12:54   1.500 152.000   2.800   7.400   9.300 1014.40
9415144 20050102 13:00   1.300 163.000   2.200   7.500   9.400 1014.50
