Alameda, CA 	
Station ID: 9414750	
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
9414750 20050102 08:30   5.000 134.000   5.800   9.500  11.000 1016.80
9414750 20050102 08:36   5.800 147.000   6.300   9.800  11.000 1016.70
9414750 20050102 08:42   6.200 149.000   6.900   9.900  11.000 1016.60
9414750 20050102 08:48   5.400 148.000   6.600   9.700  11.000 1016.60
9414750 20050102 08:54   5.200 141.000   6.000   9.600  11.000 1016.60
9414750 20050102 09:00   6.200 142.000   6.800   9.400  11.000 1016.60
9414750 20050102 09:06   5.100 140.000   6.800   9.500  11.000 1016.60
9414750 20050102 09:12   5.700 139.000   6.500   9.600  11.000 1016.50
9414750 20050102 09:18   6.000 139.000   6.500   9.600  11.000 1016.40
9414750 20050102 09:24   5.600 146.000   6.300   9.700  11.000 1016.30
9414750 20050102 09:30   6.200 137.000   6.900   9.600  10.900 1016.20
9414750 20050102 09:36   6.100 164.000   7.900   9.700  10.900 1016.20
9414750 20050102 09:42   5.500 152.000   6.400   9.700  10.800 1016.20
9414750 20050102 09:48   5.600 126.000   6.600   9.500  10.700 1016.10
9414750 20050102 09:54   5.200 123.000   6.000   9.300  10.700 1016.10
9414750 20050102 10:00   4.500 123.000   5.300   9.200  10.700 1016.10
9414750 20050102 10:06   5.000 124.000   5.900   9.200  10.600 1016.00
9414750 20050102 10:12   5.100 123.000   5.800   9.200  10.600 1016.00
9414750 20050102 10:18   5.400 126.000   6.000   9.200  10.600 1015.90
9414750 20050102 10:24   4.600 121.000   6.200   9.000  10.600 1015.90
9414750 20050102 10:30   4.900 128.000   5.400   9.100  10.600 1015.90
9414750 20050102 10:36   5.600 132.000   6.300   9.100  10.600 1015.90
9414750 20050102 10:42   6.100 138.000   7.000   9.000  10.500 1015.90
9414750 20050102 10:48   5.400 143.000   7.400   9.100  10.500 1015.90
9414750 20050102 10:54   7.000 142.000   7.600   9.200  10.600 1015.80
9414750 20050102 11:00   6.200 142.000   7.200   9.200  10.500 1015.80
9414750 20050102 11:06   6.400 160.000   7.000   9.100  10.600 1015.80
9414750 20050102 11:12   6.100 151.000   7.200   9.000  10.600 1015.60
9414750 20050102 11:18   5.600 144.000   7.200   8.900  10.600 1015.70
9414750 20050102 11:24   5.400 136.000   6.200   8.800  10.600 1015.60
9414750 20050102 11:30   5.400 129.000   5.900   9.000  10.600 1015.50
9414750 20050102 11:36   5.900 127.000   6.300   9.000  10.600 1015.60
9414750 20050102 11:42   5.300 125.000   6.100   9.000  10.600 1015.50
9414750 20050102 11:48   4.300 114.000   5.700   8.900  10.700 1015.40
9414750 20050102 11:54   4.600 123.000   5.200   8.900  10.700 1015.40
9414750 20050102 12:00   3.800 111.000   6.100   8.800  10.700 1015.20
9414750 20050102 12:06   3.700 120.000   4.400   8.800  10.600 1015.20
9414750 20050102 12:12   3.900 119.000   5.100   8.900  10.700 1015.10
9414750 20050102 12:18   5.700 138.000   6.800   9.400  10.700 1015.00
9414750 20050102 12:24   7.200 145.000   8.200   9.300  10.700 1015.00
9414750 20050102 12:30   6.600 146.000   7.800   9.300  10.700 1015.00
9414750 20050102 12:36   6.000 148.000   7.000   9.300  10.700 1015.00
9414750 20050102 12:42   6.000 148.000   6.700   9.300  10.700 1014.90
9414750 20050102 12:48   6.000 146.000   7.500   9.200  10.700 1014.90
9414750 20050102 12:54   6.400 132.000   7.100   9.200  10.700 1014.80
9414750 20050102 13:00   4.500 126.000   6.400   9.100  10.700 1014.80
9414750 20050102 13:06   4.500 122.000   5.300   9.000  10.700 1014.80
9414750 20050102 13:12   7.200 135.000   7.800   9.200  10.700 1014.70
